label_index,label_ar,treatment,baseline,baseline_mean_f1,treatment_mean_f1,mean_f1_delta,contrast
21,ك,bend_spread,bend_only,0.4985188808718221,0.6645073648591397,0.16598848398731764,spread channels added
11,س,bend_spread,bend_only,0.48520349586447664,0.6503056345699934,0.1651021387055167,spread channels added
0,ا,bend_spread,bend_only,0.477356004673478,0.6372475533581559,0.15989154868467786,spread channels added
20,ق,bend_spread,bend_only,0.5294066390945388,0.6785043416622365,0.14909770256769772,spread channels added
25,ه,bend_spread,bend_only,0.5408322903629537,0.6553138948530094,0.11448160449005573,spread channels added
5,ح,bend_spread,bend_only,0.6358024691358025,0.7219157351344565,0.08611326599865399,spread channels added
27,ي,bend_spread,bend_only,0.7604387203011056,0.841966966966967,0.08152824666586145,spread channels added
12,ش,bend_spread,bend_only,0.5863095238095238,0.6587430787143136,0.07243355490478975,spread channels added
22,ل,bend_spread,bend_only,0.5511938078309759,0.6230414746543779,0.07184766682340193,spread channels added
10,ز,bend_spread,bend_only,0.14035087719298245,0.20028216273926636,0.05993128554628391,spread channels added
19,ف,bend_spread,bend_only,0.51692362218678,0.555777220448903,0.03885359826212298,spread channels added
14,ض,bend_spread,bend_only,0.48788649612906304,0.511640371151978,0.023753875022914983,spread channels added
23,م,bend_spread,bend_only,0.9022933739914872,0.9148454592002979,0.012552085208810682,spread channels added
9,ر,bend_spread,bend_only,0.7935686751876648,0.7812818624674295,-0.012286812720235352,spread channels added
8,ذ,bend_spread,bend_only,0.6303082685105157,0.6116356107660456,-0.018672657744470134,spread channels added
1,ب,bend_spread,bend_only,0.7227661227661227,0.7035468069950829,-0.019219315771039858,spread channels added
24,ن,bend_spread,bend_only,0.5020413352221132,0.47467532467532464,-0.02736601054678861,spread channels added
18,غ,bend_spread,bend_only,0.7706464244747374,0.7379775659330199,-0.03266885854171753,spread channels added
7,د,bend_spread,bend_only,0.47336238640586464,0.4378336670003337,-0.03552871940553093,spread channels added
26,و,bend_spread,bend_only,0.6807419318230933,0.6443098897686694,-0.03643204205442385,spread channels added
6,خ,bend_spread,bend_only,0.7929421768707483,0.7254135875949258,-0.0675285892758225,spread channels added
13,ص,bend_spread,bend_only,0.7357641879605703,0.6548593706488443,-0.08090481731172605,spread channels added
15,ط,bend_spread,bend_only,0.34653860556604893,0.25617623265365386,-0.09036237291239507,spread channels added
4,ج,bend_spread,bend_only,0.6841064711932575,0.5913793103448276,-0.09272716084842991,spread channels added
2,ت,bend_spread,bend_only,0.6871094901267316,0.5394224733207784,-0.1476870168059532,spread channels added
17,ع,bend_spread,bend_only,0.5445450836393309,0.39323126510878326,-0.1513138185305476,spread channels added
3,ث,bend_spread,bend_only,0.7913220636167256,0.5347049727255017,-0.256617090891224,spread channels added
16,ظ,bend_spread,bend_only,0.7001114827201783,0.39503328213005634,-0.305078200590122,spread channels added
17,ع,full_absolute_masked_mean,bend_spread,0.39323126510878326,0.7724608130495731,0.3792295479407899,palm orientation added
4,ج,full_absolute_masked_mean,bend_spread,0.5913793103448276,0.8605585834670735,0.2691792731222459,palm orientation added
7,د,full_absolute_masked_mean,bend_spread,0.4378336670003337,0.6355147735102045,0.19768110650987075,palm orientation added
10,ز,full_absolute_masked_mean,bend_spread,0.20028216273926636,0.38444330308737085,0.1841611403481045,palm orientation added
16,ظ,full_absolute_masked_mean,bend_spread,0.39503328213005634,0.5707996583218345,0.1757663761917782,palm orientation added
25,ه,full_absolute_masked_mean,bend_spread,0.6553138948530094,0.8208616780045351,0.16554778315152574,palm orientation added
3,ث,full_absolute_masked_mean,bend_spread,0.5347049727255017,0.6972315900904887,0.16252661736498708,palm orientation added
15,ط,full_absolute_masked_mean,bend_spread,0.25617623265365386,0.37178339106192454,0.11560715840827068,palm orientation added
26,و,full_absolute_masked_mean,bend_spread,0.6443098897686694,0.7419354838709676,0.09762559410229821,palm orientation added
24,ن,full_absolute_masked_mean,bend_spread,0.47467532467532464,0.5703592889775401,0.09568396430221543,palm orientation added
2,ت,full_absolute_masked_mean,bend_spread,0.5394224733207784,0.6247870622331364,0.08536458891235799,palm orientation added
8,ذ,full_absolute_masked_mean,bend_spread,0.6116356107660456,0.684357881923311,0.07272227115726548,palm orientation added
23,م,full_absolute_masked_mean,bend_spread,0.9148454592002979,0.9811320754716982,0.06628661627140031,palm orientation added
11,س,full_absolute_masked_mean,bend_spread,0.6503056345699934,0.7135961726483236,0.0632905380783303,palm orientation added
