config,fold,label_index,label_ar,precision,recall,f1,support
bend_only,01,0,ا,0.4642857142857143,0.52,0.49056603773584906,50
bend_only,01,1,ب,0.9615384615384616,0.4807692307692308,0.6410256410256411,52
bend_only,01,2,ت,0.625,1.0,0.7692307692307693,50
bend_only,01,3,ث,0.40476190476190477,0.68,0.5074626865671642,50
bend_only,01,4,ج,0.5617977528089888,1.0,0.7194244604316546,50
bend_only,01,5,ح,0.46551724137931033,0.54,0.5,50
bend_only,01,6,خ,0.4090909090909091,0.9,0.5625,50
bend_only,01,7,د,0.2727272727272727,0.48,0.34782608695652173,50
bend_only,01,8,ذ,0.38461538461538464,0.3,0.33707865168539325,50
bend_only,01,9,ر,1.0,0.86,0.9247311827956989,50
bend_only,01,10,ز,0.0,0.0,0.0,50
bend_only,01,11,س,0.3333333333333333,0.32,0.32653061224489793,50
bend_only,01,12,ش,0.352112676056338,1.0,0.5208333333333334,50
bend_only,01,13,ص,1.0,0.62,0.7654320987654321,50
bend_only,01,14,ض,0.3448275862068966,0.2,0.25316455696202533,50
bend_only,01,15,ط,0.3023255813953488,0.26,0.27956989247311825,50
bend_only,01,16,ظ,1.0,0.3,0.46153846153846156,50
bend_only,01,17,ع,0.5833333333333334,0.42,0.4883720930232558,50
bend_only,01,18,غ,0.4166666666666667,0.6,0.4918032786885246,50
bend_only,01,19,ف,0.6666666666666666,0.6,0.631578947368421,50
bend_only,01,20,ق,1.0,0.06,0.11320754716981132,50
bend_only,01,21,ك,1.0,0.02,0.0392156862745098,50
bend_only,01,22,ل,0.0,0.0,0.0,50
bend_only,01,23,م,0.7142857142857143,0.8,0.7547169811320755,50
bend_only,01,24,ن,0.5769230769230769,0.3,0.39473684210526316,50
bend_only,01,25,ه,1.0,0.36,0.5294117647058824,50
bend_only,01,26,و,0.4827586206896552,0.84,0.6131386861313869,50
bend_only,01,27,ي,0.3220338983050847,0.38,0.3486238532110092,50
bend_only,02,0,ا,0.5263157894736842,0.4,0.45454545454545453,50
bend_only,02,1,ب,0.6197183098591549,0.88,0.7272727272727273,50
bend_only,02,2,ت,0.35454545454545455,0.78,0.4875,50
bend_only,02,3,ث,1.0,0.78,0.8764044943820225,50
bend_only,02,4,ج,0.9642857142857143,0.5294117647058824,0.6835443037974683,51
bend_only,02,5,ح,0.5882352941176471,1.0,0.7407407407407407,50
bend_only,02,6,خ,1.0,1.0,1.0,50
bend_only,02,7,د,0.5833333333333334,0.7,0.6363636363636364,50
bend_only,02,8,ذ,0.6666666666666666,1.0,0.8,50
bend_only,02,9,ر,0.5892857142857143,0.66,0.6226415094339622,50
bend_only,02,10,ز,0.0,0.0,0.0,50
bend_only,02,11,س,0.7560975609756098,0.62,0.6813186813186813,50
bend_only,02,12,ش,0.9285714285714286,0.52,0.6666666666666666,50
bend_only,02,13,ص,1.0,1.0,1.0,50
bend_only,02,14,ض,0.569620253164557,0.9,0.6976744186046512,50
bend_only,02,15,ط,1.0,0.3,0.46153846153846156,50
bend_only,02,16,ظ,0.625,1.0,0.7692307692307693,50
bend_only,02,17,ع,0.96,0.48,0.64,50
bend_only,02,18,غ,1.0,0.94,0.9690721649484536,50
bend_only,02,19,ف,1.0,0.8,0.8888888888888888,50
bend_only,02,20,ق,0.9545454545454546,0.84,0.8936170212765957,50
bend_only,02,21,ك,0.7777777777777778,0.84,0.8076923076923077,50
bend_only,02,22,ل,0.7777777777777778,0.98,0.8672566371681416,50
bend_only,02,23,م,1.0,0.98,0.98989898989899,50
bend_only,02,24,ن,0.8421052631578947,0.32,0.463768115942029,50
bend_only,02,25,ه,0.5,0.44,0.46808510638297873,50
bend_only,02,26,و,1.0,0.74,0.8505747126436781,50
bend_only,02,27,ي,1.0,0.92,0.9583333333333334,50
bend_only,03,0,ا,0.4307692307692308,0.56,0.48695652173913045,50
bend_only,03,1,ب,0.9,0.72,0.8,50
bend_only,03,2,ت,0.9459459459459459,0.7,0.8045977011494253,50
bend_only,03,3,ث,0.9803921568627451,1.0,0.9900990099009901,50
bend_only,03,4,ج,0.5154639175257731,0.8771929824561403,0.6493506493506493,57
bend_only,03,5,ح,0.8,0.5714285714285714,0.6666666666666666,49
bend_only,03,6,خ,0.8333333333333334,0.8,0.8163265306122449,50
bend_only,03,7,د,0.6071428571428571,0.34,0.4358974358974359,50
bend_only,03,8,ذ,0.6125,0.98,0.7538461538461538,50
bend_only,03,9,ر,0.8695652173913043,0.8,0.8333333333333334,50
bend_only,03,10,ز,0.4444444444444444,0.4,0.42105263157894735,50
bend_only,03,11,س,0.8823529411764706,0.3,0.44776119402985076,50
bend_only,03,12,ش,1.0,0.4,0.5714285714285714,50
bend_only,03,13,ص,0.5277777777777778,0.38,0.4418604651162791,50
bend_only,03,14,ض,0.7142857142857143,0.4,0.5128205128205128,50
bend_only,03,15,ط,0.625,0.19607843137254902,0.29850746268656714,51
bend_only,03,16,ظ,0.7692307692307693,1.0,0.8695652173913043,50
bend_only,03,17,ع,0.5333333333333333,0.48,0.5052631578947369,50
bend_only,03,18,غ,0.9090909090909091,0.8,0.851063829787234,50
bend_only,03,19,ف,0.0625,0.02,0.030303030303030304,50
bend_only,03,20,ق,0.4098360655737705,1.0,0.5813953488372093,50
bend_only,03,21,ك,1.0,0.48,0.6486486486486487,50
bend_only,03,22,ل,0.696969696969697,0.9019607843137255,0.7863247863247863,51
bend_only,03,23,م,0.9272727272727272,1.0,0.9622641509433962,51
bend_only,03,24,ن,0.6181818181818182,0.68,0.6476190476190476,50
bend_only,03,25,ه,0.45454545454545453,1.0,0.625,50
bend_only,03,26,و,0.49295774647887325,0.7,0.5785123966942148,50
bend_only,03,27,ي,1.0,0.95,0.9743589743589743,60
bend_spread,01,0,ا,0.6493506493506493,1.0,0.7874015748031497,50
bend_spread,01,1,ب,0.8085106382978723,0.7307692307692307,0.7676767676767676,52
bend_spread,01,2,ت,0.6617647058823529,0.9,0.7627118644067796,50
bend_spread,01,3,ث,0.5,0.78,0.609375,50
bend_spread,01,4,ج,0.6666666666666666,1.0,0.8,50
bend_spread,01,5,ح,0.6590909090909091,0.58,0.6170212765957447,50
bend_spread,01,6,خ,0.5,0.74,0.5967741935483871,50
bend_spread,01,7,د,0.3448275862068966,0.4,0.37037037037037035,50
bend_spread,01,8,ذ,0.5952380952380952,0.5,0.5434782608695652,50
bend_spread,01,9,ر,1.0,0.82,0.9010989010989011,50
bend_spread,01,10,ز,0.4,0.24,0.3,50
bend_spread,01,11,س,0.875,0.56,0.6829268292682927,50
bend_spread,01,12,ش,0.4485981308411215,0.96,0.6114649681528662,50
bend_spread,01,13,ص,0.6024096385542169,1.0,0.7518796992481203,50
